id,"Country name","City name","State abbreviation",Categories,Tags
2144,,Guayaquil,,"South America>Ecuador",
2151,,"Rio de Janeiro",,"South America>Brazil",
2157,,Casablanca,,Africa>Morocco,
2278,,Lagos,,Africa>Nigeria,
2286,,Durban,,"Africa>South Africa",
2296,,Nairobi,,Africa>Kenya,
2309,,Accra,,Africa>Ghana,
2350,,Brisbane,,Oceania>Australia,Australia
2359,,"Port Moresby",,"Oceania>Papua New Guinea","Papua New Guinea"
2367,,Jakarta,,Asia>Indonesia,
2381,,Kinshasa,,Africa>Congo,
2391,,,,Home,
2423,,,,Home,
2433,,,,Home,
2647,,Chicago,IL,"North America>United States of America>Illinois",
2799,,"Krakow (Cracow)",,Europe>Poland,
2804,,Copenhagen,,Europe>Denmark,
2810,,Shenzhen,,Asia>China,
2824,,Rosario,,"South America>Argentina",
2830,,Amman,,Asia>Jordan,
2841,,Mogadishu,,Africa>Somalia,
3151,,Moscow,,Europe>Russia,
3159,,Montevideo,,"South America>Uruguay",
3835,,Dhaka,,Asia>Bangladesh,
3940,,"Palaio Faliro, Athens",,Europe>Greece,
4364,,Chittagong,,Asia>Bangladesh,
4498,,Khulna,,Asia>Bangladesh,
4596,,Rajshahi,,Asia>Bangladesh,
4823,,Rome,,Europe>Italy,
6432,,Aberdeen,SD,"North America>United States of America>South Dakota",
6433,,Abilene,TX,"North America>United States of America>Texas",
6434,,Acton,MA,"North America>United States of America>Massachusetts",
6435,,Akron,OH,"North America>United States of America>Ohio",
6436,,Alameda,CA,"North America>United States of America>California",
6437,,Alamogordo,NM,"North America>United States of America>New Mexico",
6438,,Albany,NY,"North America>United States of America>New York",
6439,,Albany,OR,"North America>United States of America>Oregon",
6440,,Albuquerque,NM,"North America>United States of America>New Mexico",
6441,,Alexandria,LA,"North America>United States of America>Louisiana",
6442,,Alexandria,VA,"North America>United States of America>Virginia",
6443,,"Aliso Viejo",CA,"North America>United States of America>California",
6444,,Allen,TX,"North America>United States of America>Texas",
6445,,Allentown,PA,"North America>United States of America>Pennsylvania",
6446,,Alpharetta,GA,"North America>United States of America>Georgia",
6447,,Alton,IL,"North America>United States of America>Illinois",
6448,,Amarillo,TX,"North America>United States of America>Texas",
6449,,Ames,IA,"North America>United States of America>Iowa",
6450,,Amherst,MA,"North America>United States of America>Massachusetts",
6451,,Anaheim,CA,"North America>United States of America>California",
6452,,Anchorage,AK,"North America>United States of America>Alaska",
6453,,Anderson,CA,"North America>United States of America>California",
6454,,Anderson,SC,"North America>United States of America>South Carolina",
6455,,Andover,MA,"North America>United States of America>Massachusetts",
6456,,Ankeny,IA,"North America>United States of America>Iowa",
6457,,"Ann Arbor",MI,"North America>United States of America>Michigan",
6458,,Annapolis,MD,"North America>United States of America>Maryland",
6459,,Antioch,CA,"North America>United States of America>California",
6460,,Apopka,FL,"North America>United States of America>Florida",
6461,,"Apple Valley",CA,"North America>United States of America>California",
6462,,Appleton,WI,"North America>United States of America>Wisconsin",
6463,,Arlington,TX,"North America>United States of America>Texas",
6464,,Arlington,VA,"North America>United States of America>Virginia",
6465,,Ashburn,VA,"North America>United States of America>Virginia",
6466,,Asheville,NC,"North America>United States of America>North Carolina",
6467,,Astoria,NY,"North America>United States of America>New York",
6468,,Astoria,OR,"North America>United States of America>Oregon",
6469,,Atascadero,CA,"North America>United States of America>California",
6470,,Athens,GA,"North America>United States of America>Georgia",
6471,,Athens,OH,"North America>United States of America>Ohio",
6472,,Atlanta,GA,"North America>United States of America>Georgia",
6473,,Auburn,AL,"North America>United States of America>Alabama",
6474,,Augusta,GA,"North America>United States of America>Georgia",
6475,,Augusta,ME,"North America>United States of America>Maine",
6476,,Aurora,CO,"North America>United States of America>Colorado",
6477,,Aurora,IL,"North America>United States of America>Illinois",
6478,,Austin,TX,"North America>United States of America>Texas",
6479,,Avondale,AZ,"North America>United States of America>Arizona",
6480,,Bakersfield,CA,"North America>United States of America>California",
6481,,Baltimore,MD,"North America>United States of America>Maryland",
6482,,Bangor,ME,"North America>United States of America>Maine",
6483,,"Baton Rouge",LA,"North America>United States of America>Louisiana",
6484,,"Battle Creek",MI,"North America>United States of America>Michigan",
6485,,Baytown,TX,"North America>United States of America>Texas",
6486,,"Beaufort County",SC,"North America>United States of America>South Carolina",
6487,,Beaumont,TX,"North America>United States of America>Texas",
6488,,Beaverton,OR,"North America>United States of America>Oregon",
6489,,Beckley,WV,"North America>United States of America>West Virginia",
6490,,Belleville,IL,"North America>United States of America>Illinois",
6491,,Bellevue,WA,"North America>United States of America>Washington",
6492,,Bellingham,WA,"North America>United States of America>Massachusetts",
6493,,Belmont,CA,"North America>United States of America>California",
6494,,Beloit,WI,"North America>United States of America>Wisconsin",
6495,,Bend,OR,"North America>United States of America>Oregon",
6496,,Bentonville,AR,"North America>United States of America>Arkansas",
6497,,"Bergen County",NJ,"North America>United States of America>New Jersey",
6498,,Berkeley,CA,"North America>United States of America>California",
6499,,Bethesda,MD,"North America>United States of America>Maryland",
6500,,Bethlehem,PA,"North America>United States of America>Pennsylvania",
6501,,"Beverly Hills",CA,"North America>United States of America>California",
6502,,Billings,MT,"North America>United States of America>Montana",
6503,,Biloxi,MS,"North America>United States of America>Mississippi",
6504,,Binghamton,NY,"North America>United States of America>New York",
6505,,Birmingham,AL,"North America>United States of America>Alabama",
6506,,Bismarck,ND,"North America>United States of America>North Dakota",
6507,,Blacksburg,VA,"North America>United States of America>Virginia",
6508,,"Bloomfield Hills",MI,"North America>United States of America>Michigan",
6509,,Bloomington,IL,"North America>United States of America>Illinois",
6510,,Bloomington,IN,"North America>United States of America>Indiana",
6511,,"Boca Raton",FL,"North America>United States of America>Florida",
6512,,Boise,ID,"North America>United States of America>Idaho",
6513,,Boone,NC,"North America>United States of America>North Carolina",
6514,,Boston,MA,"North America>United States of America>Massachusetts",
6515,,Boulder,CO,"North America>United States of America>Colorado",
6516,,"Bowling Green",KY,"North America>United States of America>Kentucky",
6517,,"Boynton Beach",FL,"North America>United States of America>Florida",
6518,,Bozeman,MT,"North America>United States of America>Montana",
6519,,Bradenton,FL,"North America>United States of America>Florida",
6520,,Brainerd,MN,"North America>United States of America>Minnesota",
6521,,Brea,CA,"North America>United States of America>California",
6522,,Bremerton,WA,"North America>United States of America>Washington",
6523,,Brentwood,CA,"North America>United States of America>California",
6524,,Brentwood,TN,"North America>United States of America>Tennessee",
6525,,Bridgeport,CT,"North America>United States of America>Connecticut",
6526,,Bridgewater,NJ,"North America>United States of America>Massachusetts",
6527,,Bronx,NY,"North America>United States of America>New York",
6528,,Brookhaven,NY,"North America>United States of America>Mississippi",
6529,,Brooklyn,NY,"North America>United States of America>New York",
6530,,Brownsville,TX,"North America>United States of America>Texas",
6531,,Brunswick,GA,"North America>United States of America>Georgia",
6532,,Buffalo,NY,"North America>United States of America>New York",
6533,,"Bullhead City",AZ,"North America>United States of America>Arizona",
6534,,Burbank,CA,"North America>United States of America>California",
6535,,Burley,ID,"North America>United States of America>Idaho",
6536,,Burlington,IA,"North America>United States of America>Iowa",
6537,,Burlington,VT,"North America>United States of America>Vermont",
6538,,Butte,MT,"North America>United States of America>Montana",
6539,,Camarillo,CA,"North America>United States of America>California",
6540,,Cambridge,MA,"North America>United States of America>Massachusetts",
6541,,"Canoga Park",CA,"North America>United States of America>California",
6542,,Canton,OH,"North America>United States of America>Ohio",
6543,,"Cape Girardeau",MO,"North America>United States of America>Missouri",
6544,,Carbondale,IL,"North America>United States of America>Illinois",
6545,,Carlsbad,CA,"North America>United States of America>California",
6546,,Carlsbad,NM,"North America>United States of America>New Mexico",
6547,,"Carson City",NV,"North America>United States of America>Nevada",
6548,,Cartersville,GA,"North America>United States of America>Georgia",
6549,,Cary,NC,"North America>United States of America>North Carolina",
6550,,Casper,WY,"North America>United States of America>Wyoming",
6551,,"Cedar City",UT,"North America>United States of America>Utah",
6552,,"Cedar Rapids",IA,"North America>United States of America>Iowa",
6553,,Centreville,VA,"North America>United States of America>Virginia",
6554,,Champaign,IL,"North America>United States of America>Illinois",
6555,,Chandler,AZ,"North America>United States of America>Arizona",
6556,,"Chapel Hill",NC,"North America>United States of America>North Carolina",
6557,,Charleston,SC,"North America>United States of America>South Carolina",
6558,,Charleston,WV,"North America>United States of America>West Virginia",
6559,,Charlotte,NC,"North America>United States of America>North Carolina",
6560,,Charlottesville,VA,"North America>United States of America>Virginia",
6561,,Chattanooga,TN,"North America>United States of America>Tennessee",
6562,,"Cherry Hill",NJ,"North America>United States of America>New Jersey",
6563,,Chesapeake,VA,"North America>United States of America>Virginia",
6564,,Cheyenne,WY,"North America>United States of America>Wyoming",
6566,,Chico,CA,"North America>United States of America>California",
6567,,"Chula Vista",CA,"North America>United States of America>California",
6568,,Cincinnati,OH,"North America>United States of America>Ohio",
6569,,"Citrus Heights",CA,"North America>United States of America>California",
6570,,Clarksville,TN,"North America>United States of America>Tennessee",
6571,,Clearwater,FL,"North America>United States of America>Florida",
6572,,Cleveland,OH,"North America>United States of America>Ohio",
6573,,Clifton,NJ,"North America>United States of America>New Jersey",
6574,,"Clinton Township",MI,"North America>United States of America>Michigan",
6575,,Clovis,NM,"North America>United States of America>New Mexico",
6576,,Cody,WY,"North America>United States of America>Wyoming",
6577,,"Coeur D'Alene",ID,"North America>United States of America>Idaho",
6578,,"College Park",MD,"North America>United States of America>Maryland",
6579,,"College Station",TX,"North America>United States of America>Texas",
6580,,"Colorado Springs",CO,"North America>United States of America>Colorado",
6581,,Colton,CA,"North America>United States of America>California",
6582,,Columbia,MD,"North America>United States of America>Maryland",
6583,,Columbia,MO,"North America>United States of America>Missouri",
6584,,Columbia,SC,"North America>United States of America>South Carolina",
6585,,Columbus,GA,"North America>United States of America>Georgia",
6586,,Columbus,IN,"North America>United States of America>Indiana",
6587,,Columbus,OH,"North America>United States of America>Ohio",
6588,,Concord,CA,"North America>United States of America>California",
6589,,Concord,NH,"North America>United States of America>New Hampshire",
6590,,Conroe,TX,"North America>United States of America>Texas",
6591,,Cookeville,TN,"North America>United States of America>Tennessee",
6592,,"Coos Bay",OR,"North America>United States of America>Oregon",
6593,,"Coral Springs",FL,"North America>United States of America>Florida",
6594,,Corona,CA,"North America>United States of America>California",
6595,,"Corpus Christi",TX,"North America>United States of America>Texas",
6596,,Corvallis,OR,"North America>United States of America>Oregon",
6597,,"Costa Mesa",CA,"North America>United States of America>California",
6598,,Cottonwood,AZ,"North America>United States of America>Arizona",
6599,,Crestview,FL,"North America>United States of America>Florida",
6600,,"Crystal Lake",IL,"North America>United States of America>Illinois",
6601,,Cumberland,MD,"North America>United States of America>Maryland",
6602,,Cumming,GA,"North America>United States of America>Georgia",
6603,,Cupertino,CA,"North America>United States of America>California",
6604,,Dallas,TX,"North America>United States of America>Texas",
6605,,Danbury,CT,"North America>United States of America>Connecticut",
6606,,Danville,CA,"North America>United States of America>California",
6607,,Danville,VA,"North America>United States of America>Virginia",
6608,,Davenport,IA,"North America>United States of America>Iowa",
6609,,Davis,CA,"North America>United States of America>California",
6610,,Dayton,OH,"North America>United States of America>Ohio",
6611,,"Daytona Beach",FL,"North America>United States of America>Florida",
6612,,Decatur,IL,"North America>United States of America>Illinois",
6613,,"Deerfield Beach",FL,"North America>United States of America>Florida",
6614,,DeKalb,IL,"North America>United States of America>Illinois",
6615,,"Del Rio",TX,"North America>United States of America>Texas",
6616,,Deland,FL,"North America>United States of America>Florida",
6617,,"Delray Beach",FL,"North America>United States of America>Florida",
6618,,Denton,TX,"North America>United States of America>Texas",
6619,,Denver,CO,"North America>United States of America>Colorado",
6620,,"Des Moines",IA,"North America>United States of America>Iowa",
6621,,"Des Plaines",IL,"North America>United States of America>Illinois",
6622,,Detroit,MI,"North America>United States of America>Michigan",
6623,,"Dodge City",KS,"North America>United States of America>Kansas",
6624,,Dothan,AL,"North America>United States of America>Alabama",
6625,,Dover,DE,"North America>United States of America>Delaware",
6626,,Dover,NH,"North America>United States of America>New Hampshire",
6627,,Downey,CA,"North America>United States of America>California",
6628,,Downingtown,PA,"North America>United States of America>Pennsylvania",
6629,,Doylestown,PA,"North America>United States of America>Pennsylvania",
6630,,Dublin,OH,"North America>United States of America>Ohio",
6631,,Dubuque,IA,"North America>United States of America>Iowa",
6632,,Duluth,GA,"North America>United States of America>Georgia",
6633,,Duluth,MN,"North America>United States of America>Minnesota",
6634,,Durango,CO,"North America>United States of America>Colorado",
6635,,Durham,NC,"North America>United States of America>North Carolina",
6636,,"Eagle River",AK,"North America>United States of America>Alaska",
6637,,"East Lansing",MI,"North America>United States of America>Michigan",
6638,,"East Providence",RI,"North America>United States of America>Rhode Island",
6639,,"Eau Claire",WI,"North America>United States of America>Wisconsin",
6640,,"Eden Prairie",MN,"North America>United States of America>Minnesota",
6641,,"Edison Twp.",NJ,"North America>United States of America>New Jersey",
6642,,Edmond,OK,"North America>United States of America>Oklahoma",
6643,,Edwardsville,IL,"North America>United States of America>Illinois",
6644,,"El Cajon",CA,"North America>United States of America>California",
6645,,"El Centro",CA,"North America>United States of America>California",
6646,,"El Dorado",AR,"North America>United States of America>Arkansas",
6647,,"El Paso",TX,"North America>United States of America>Texas",
6648,,Elizabethtown,KY,"North America>United States of America>Kentucky",
6649,,Elkhart,IN,"North America>United States of America>Indiana",
6650,,Elko,NV,"North America>United States of America>Nevada",
6651,,Elmira,NY,"North America>United States of America>New York",
6652,,Erie,PA,"North America>United States of America>Pennsylvania",
6653,,Eugene,OR,"North America>United States of America>Oregon",
6654,,Eureka,CA,"North America>United States of America>California",
6655,,Evanston,IL,"North America>United States of America>Illinois",
6656,,Evansville,IN,"North America>United States of America>Indiana",
6657,,Everett,WA,"North America>United States of America>Washington",
6658,,Fairbanks,AK,"North America>United States of America>Alaska",
6659,,Fairfax,VA,"North America>United States of America>Virginia",
6660,,Fairfield,CA,"North America>United States of America>California",
6661,,Fairfield,CT,"North America>United States of America>Connecticut",
6662,,"Fall River",MA,"North America>United States of America>Massachusetts",
6663,,Fargo,ND,"North America>United States of America>North Dakota",
6664,,Farmington,NM,"North America>United States of America>New Mexico",
6665,,"Farmington Hills",MI,"North America>United States of America>Michigan",
6666,,Fayetteville,AR,"North America>United States of America>Arkansas",
6667,,Fayetteville,NC,"North America>United States of America>North Carolina",
6668,,Flagstaff,AZ,"North America>United States of America>Arizona",
6669,,Flint,MI,"North America>United States of America>Michigan",
6670,,Florence,AL,"North America>United States of America>Alabama",
6671,,"Fond Du Lac",WI,"North America>United States of America>Wisconsin",
6672,,Fontana,CA,"North America>United States of America>California",
6673,,"Fort Collins",CO,"North America>United States of America>Colorado",
6674,,"Fort Lauderdale",FL,"North America>United States of America>Florida",
6675,,"Fort Myers",FL,"North America>United States of America>Florida",
6676,,"Fort Smith",AR,"North America>United States of America>Arkansas",
6677,,"Fort Walton Beach",FL,"North America>United States of America>Florida",
6678,,"Fort Wayne",IN,"North America>United States of America>Indiana",
6679,,"Fort Worth",TX,"North America>United States of America>Texas",
6680,,"Foster City",CA,"North America>United States of America>California",
6681,,Franklin,TN,"North America>United States of America>Tennessee",
6682,,Frederick,MD,"North America>United States of America>Maryland",
6683,,Fredericksburg,VA,"North America>United States of America>Virginia",
6685,,Fresno,CA,"North America>United States of America>California",
6686,,Frisco,TX,"North America>United States of America>Texas",
6687,,Fullerton,CA,"North America>United States of America>California",
6688,,Gadsden,AL,"North America>United States of America>Alabama",
6689,,Gainesville,FL,"North America>United States of America>Florida",
6690,,Gainesville,GA,"North America>United States of America>Georgia",
6691,,Gaithersburg,MD,"North America>United States of America>Maryland",
6692,,Galesburg,IL,"North America>United States of America>Illinois",
6693,,Galveston,TX,"North America>United States of America>Texas",
6694,,"Garden Grove",CA,"North America>United States of America>California",
6695,,Garland,TX,"North America>United States of America>Texas",
6696,,Gastonia,NC,"North America>United States of America>North Carolina",
6697,,Germantown,MD,"North America>United States of America>Maryland",
6698,,"Gig Harbor",WA,"North America>United States of America>Washington",
6699,,Gilbert,AZ,"North America>United States of America>Arizona",
6700,,Gillette,WY,"North America>United States of America>Wyoming",
6701,,Glendale,AZ,"North America>United States of America>Arizona",
6702,,Glendale,CA,"North America>United States of America>California",
6703,,Granbury,TX,"North America>United States of America>Texas",
6704,,"Grand Forks",ND,"North America>United States of America>North Dakota",
6705,,"Grand Island",NE,"North America>United States of America>Nebraska",
6706,,"Grand Junction",CO,"North America>United States of America>Colorado",
6707,,"Grand Rapids",MI,"North America>United States of America>Michigan",
6708,,"Grants Pass",OR,"North America>United States of America>Oregon",
6709,,Grapevine,TX,"North America>United States of America>Texas",
6710,,"Grass Valley",CA,"North America>United States of America>California",
6711,,"Great Falls",MT,"North America>United States of America>Montana",
6712,,Greeley,CO,"North America>United States of America>Colorado",
6713,,"Green Bay",WI,"North America>United States of America>Wisconsin",
6714,,Greensboro,NC,"North America>United States of America>North Carolina",
6715,,Greensburg,PA,"North America>United States of America>Indiana",
6716,,Greenville,NC,"North America>United States of America>North Carolina",
6717,,Greenville,SC,"North America>United States of America>South Carolina",
6718,,Greenville,TX,"North America>United States of America>Texas",
6719,,Gresham,OR,"North America>United States of America>Oregon",
6720,,Gulfport,MS,"North America>United States of America>Mississippi",
6721,,Hagerstown,MD,"North America>United States of America>Maryland",
6722,,Hamilton,OH,"North America>United States of America>Ohio",
6723,,Hanover,NH,"North America>United States of America>New Hampshire",
6724,,Harlingen,TX,"North America>United States of America>Texas",
6725,,Harrisburg,PA,"North America>United States of America>North Carolina",
6726,,Harrison,AR,"North America>United States of America>Arkansas",
6727,,Hartford,CT,"North America>United States of America>Wisconsin",
6728,,Hattiesburg,MS,"North America>United States of America>Mississippi",
6729,,Haverhill,MA,"North America>United States of America>Massachusetts",
6730,,Hayward,CA,"North America>United States of America>California",
6731,,Helena,MT,"North America>United States of America>Montana",
6732,,Hempstead,NY,"North America>United States of America>New York",
6733,,Henderson,NV,"North America>United States of America>Nevada",
6734,,Herndon,VA,"North America>United States of America>Virginia",
6735,,Hickory,NC,"North America>United States of America>North Carolina",
6736,,"High Point",NC,"North America>United States of America>North Carolina",
6737,,"Highlands Ranch",CO,"North America>United States of America>Colorado",
6738,,Hillsboro,OR,"North America>United States of America>Oregon",
6739,,Hilo,HI,"North America>United States of America>Hawaii",
6740,,"Hilton Head Island",SC,"North America>United States of America>South Carolina",
6741,,Hobbs,NM,"North America>United States of America>New Mexico",
6742,,"Hoboken City",NJ,"North America>United States of America>New Jersey",
6743,,Holland,MI,"North America>United States of America>Michigan",
6744,,Hollywood,FL,"North America>United States of America>Florida",
6746,,"Hot Springs",AR,"North America>United States of America>Arkansas",
6747,,Houma,LA,"North America>United States of America>Louisiana",
6748,,Houston,TX,"North America>United States of America>Texas",
6749,,Huntington,WV,"North America>United States of America>West Virginia",
6750,,"Huntington Beach",CA,"North America>United States of America>California",
6751,,Huntsville,AL,"North America>United States of America>Alabama",
6752,,Hyannis,MA,"North America>United States of America>Massachusetts",
6753,,"Idaho Falls",ID,"North America>United States of America>Idaho",
6754,,Independence,MO,"North America>United States of America>Missouri",
6755,,Indianapolis,IN,"North America>United States of America>Indiana",
6756,,Indio,CA,"North America>United States of America>California",
6757,,"Iowa City",IA,"North America>United States of America>Iowa",
6758,,Irvine,CA,"North America>United States of America>California",
6759,,Irving,TX,"North America>United States of America>Texas",
6760,,Ithaca,NY,"North America>United States of America>New York",
6761,,Jackson,MS,"North America>United States of America>Mississippi",
6762,,Jackson,TN,"North America>United States of America>Tennessee",
6763,,Jackson,WY,"North America>United States of America>Wyoming",
6764,,Jacksonville,FL,"North America>United States of America>Florida",
6765,,Jacksonville,NC,"North America>United States of America>North Carolina",
6766,,"Jersey City",NJ,"North America>United States of America>New Jersey",
6767,,"Johnson City",TN,"North America>United States of America>Tennessee",
6768,,Johnstown,PA,"North America>United States of America>Pennsylvania",
6769,,Jonesboro,AR,"North America>United States of America>Arkansas",
6770,,Joplin,MO,"North America>United States of America>Missouri",
6771,,Juneau,AK,"North America>United States of America>Alaska",
6772,,Jupiter,FL,"North America>United States of America>Florida",
6773,,Kahului,HI,"North America>United States of America>Hawaii",
6774,,Kailua,HI,"North America>United States of America>Hawaii",
6775,,Kalamazoo,MI,"North America>United States of America>Michigan",
6776,,Kalispell,MT,"North America>United States of America>Montana",
6777,,"Kansas City",KS,"North America>United States of America>Kansas",
6778,,"Kansas City",MO,"North America>United States of America>Missouri",
6779,,Katy,TX,"North America>United States of America>Texas",
6780,,Keene,NH,"North America>United States of America>New Hampshire",
6781,,Kennewick,WA,"North America>United States of America>Washington",
6782,,Kenosha,WI,"North America>United States of America>Wisconsin",
6783,,Kent,WA,"North America>United States of America>Washington",
6784,,Ketchikan,AK,"North America>United States of America>Alaska",
6785,,"Key West",FL,"North America>United States of America>Florida",
6786,,Killeen,TX,"North America>United States of America>Texas",
6787,,Kingman,AZ,"North America>United States of America>Arizona",
6788,,Kingsport,TN,"North America>United States of America>Tennessee",
6789,,Kingston,NY,"North America>United States of America>New York",
6790,,Kirksville,MO,"North America>United States of America>Missouri",
6791,,Kissimmee,FL,"North America>United States of America>Florida",
6792,,"Klamath Falls",OR,"North America>United States of America>Oregon",
6793,,Knoxville,TN,"North America>United States of America>Tennessee",
6794,,Kokomo,IN,"North America>United States of America>Indiana",
6795,,"La Crosse",WI,"North America>United States of America>Wisconsin",
6796,,Lafayette,IN,"North America>United States of America>Indiana",
6797,,Lafayette,LA,"North America>United States of America>Louisiana",
6798,,"Lake Charles",LA,"North America>United States of America>Louisiana",
6799,,"Lake Elsinore",CA,"North America>United States of America>California",
6800,,"Lake Forest",CA,"North America>United States of America>California",
6801,,"Lake Havasu City",AZ,"North America>United States of America>Arizona",
6802,,"Lake Worth",FL,"North America>United States of America>Florida",
6803,,Lakeland,FL,"North America>United States of America>Florida",
6804,,Lancaster,CA,"North America>United States of America>California",
6805,,Lancaster,PA,"North America>United States of America>Pennsylvania",
6806,,Lansing,MI,"North America>United States of America>Michigan",
6807,,Laramie,WY,"North America>United States of America>Wyoming",
6808,,Laredo,TX,"North America>United States of America>Texas",
6809,,"Las Cruces",NM,"North America>United States of America>New Mexico",
6811,,Laurel,MD,"North America>United States of America>Maryland",
6812,,Lawrence,KS,"North America>United States of America>Kansas",
6813,,Lawrenceville,GA,"North America>United States of America>Georgia",
6814,,Lawton,OK,"North America>United States of America>Oklahoma",
6815,,Leander,TX,"North America>United States of America>Texas",
6816,,Lehi,UT,"North America>United States of America>Utah",
6817,,Levittown,PA,"North America>United States of America>Pennsylvania",
6818,,Lexington,KY,"North America>United States of America>Kentucky",
6819,,"Lexington Park",MD,"North America>United States of America>Maryland",
6820,,Lincoln,NE,"North America>United States of America>Nebraska",
6821,,"Little Rock",AR,"North America>United States of America>Arkansas",
6822,,Livermore,CA,"North America>United States of America>California",
6823,,Livonia,MI,"North America>United States of America>Michigan",
6824,,"Logan City",UT,"North America>United States of America>Utah",
6825,,"Long Beach",CA,"North America>United States of America>California",
6826,,"Long Branch",NJ,"North America>United States of America>New Jersey",
6827,,"Long Island",NY,"North America>United States of America>New York",
6828,,Longmont,CO,"North America>United States of America>Colorado",
6829,,Longview,TX,"North America>United States of America>Texas",
6830,,Longview,WA,"North America>United States of America>Washington",
6832,,"Los Gatos",CA,"North America>United States of America>California",
6833,,Louisville,KY,"North America>United States of America>Kentucky",
6834,,Loveland,CO,"North America>United States of America>Colorado",
6835,,Lowell,MA,"North America>United States of America>Massachusetts",
6836,,Lubbock,TX,"North America>United States of America>Texas",
6837,,Lynchburg,VA,"North America>United States of America>Virginia",
6838,,Macon,GA,"North America>United States of America>Georgia",
6839,,Madera,CA,"North America>United States of America>California",
6840,,Madison,WI,"North America>United States of America>Wisconsin",
6841,,Malden,MA,"North America>United States of America>Massachusetts",
6842,,Manassas,VA,"North America>United States of America>Virginia",
6843,,Manchester,NH,"North America>United States of America>New Hampshire",
6844,,Manhattan,KS,"North America>United States of America>Kansas",
6845,,Mankato,MN,"North America>United States of America>Minnesota",
6846,,Mansfield,OH,"North America>United States of America>Ohio",
6847,,Marietta,GA,"North America>United States of America>Georgia",
6848,,Marina,CA,"North America>United States of America>California",
6849,,Marquette,MI,"North America>United States of America>Michigan",
6850,,Martinez,CA,"North America>United States of America>California",
6851,,Martinsburg,WV,"North America>United States of America>West Virginia",
6852,,Maui,HI,"North America>United States of America>Hawaii",
6853,,Mcallen,TX,"North America>United States of America>Texas",
6854,,Mckinney,TX,"North America>United States of America>Texas",
6855,,Mechanicsburg,PA,"North America>United States of America>Pennsylvania",
6856,,Medford,OR,"North America>United States of America>Oregon",
6857,,Melbourne,FL,"North America>United States of America>Florida",
6858,,Memphis,TN,"North America>United States of America>Tennessee",
6859,,Merced,CA,"North America>United States of America>California",
6860,,Mesa,AZ,"North America>United States of America>Arizona",
6861,,Mesquite,TX,"North America>United States of America>Texas",
6863,,Midland,MI,"North America>United States of America>Michigan",
6864,,Midland,TX,"North America>United States of America>Texas",
6865,,Midlothian,VA,"North America>United States of America>Virginia",
6866,,Milwaukee,WI,"North America>United States of America>Wisconsin",
6867,,Minneapolis,MN,"North America>United States of America>Minnesota",
6868,,"Mission Viejo",CA,"North America>United States of America>California",
6869,,Missoula,MT,"North America>United States of America>Montana",
6870,,Moab,UT,"North America>United States of America>Utah",
6871,,Moberly,MO,"North America>United States of America>Missouri",
