id,"City name",Categories,Title
872,Berlin,Europe>Germany,"Is Berlin Tap Water Safe to Drink?"
879,Mumbai,Asia>India,"Is Mumbai Tap Water Safe to Drink?"
885,Dublin,Europe>Ireland,"Is Dublin Tap Water Safe to Drink?"
899,Brussels,Europe>Belgium,"Is Brussels Tap Water Safe to Drink?"
907,Sydney,Oceania>Australia,"Is Sydney Tap Water Safe to Drink?"
919,Cairo,Africa>Egypt,"Is Cairo Tap Water Safe to Drink?"
972,Bucharest,Europe>Romania,"Is Bucharest Tap Water Safe to Drink?"
977,Zurich,Europe>Switzerland,"Is Zurich Tap Water Safe to Drink?"
984,"Las Vegas","North America>United States of America>Nevada","Is Las Vegas Tap Water Safe to Drink?"
989,Marrakech,Africa>Morocco,"Is Marrakesh Tap Water Safe to Drink?"
1095,Shanghai,Asia>China,"Is Shanghai Tap Water Safe to Drink?"
1295,Venice,Europe>Italy,"Is Venice Tap Water Safe to Drink?"
1321,"Quebec City","North America>Canada","Is Quebec City Tap Water Safe to Drink?"
1326,Washington,"North America>United States of America>District of Columbia","Is Washington D.C. Tap Water Safe to Drink?"
1369,Melbourne,Oceania>Australia,"Is Melbourne Tap Water Safe to Drink?"
1400,Quito,"South America>Ecuador","Is Quito Tap Water Safe to Drink?"
1405,"San Francisco","North America>United States of America>California","Is San Francisco Tap Water Safe to Drink?"
1409,"Cape Town","Africa>South Africa","Is Cape Town Tap Water Safe to Drink?"
1420,Auckland,"Oceania>New Zealand","Is Auckland Tap Water Safe to Drink?"
1656,,Home|Uncategorized,Continent
2096,Santiago,"South America>Chile","Is Santiago Tap Water Safe to Drink?"
2107,Caracas,"South America>Venezuela","Is Caracas Tap Water Safe to Drink?"
2127,Brasilia,"South America>Brazil","Is Brasilia Tap Water Safe to Drink?"
2134,Bogota,"South America>Colombia","Is Bogota Tap Water Safe to Drink?"
2144,Guayaquil,"South America>Ecuador","Is Guayaquil Tap Water Safe to Drink?"
2151,"Rio de Janeiro","South America>Brazil","Is Rio de Janeiro Tap Water Safe to Drink?"
2157,Casablanca,Africa>Morocco,"Is Casablanca Tap Water Safe to Drink?"
2278,Lagos,Africa>Nigeria,"Is Lagos Tap Water Safe to Drink?"
2286,Durban,"Africa>South Africa","Is Durban Tap Water Safe to Drink?"
2296,Nairobi,Africa>Kenya,"Is Nairobi Tap Water Safe to Drink?"
2309,Accra,Africa>Ghana,"Is Accra Tap Water Safe to Drink?"
2350,Brisbane,Oceania>Australia,"Is Brisbane Tap Water Safe to Drink?"
2359,"Port Moresby","Oceania>Papua New Guinea","Is Port Moresby Tap Water Safe to Drink?"
2367,Jakarta,Asia>Indonesia,"Is Jakarta Tap Water Safe to Drink?"
2381,Kinshasa,Africa>Congo,"Is Kinshasa Tap Water Safe to Drink?"
2391,,Home,"Tap Water"
2423,,Home,"Best Water to Drink"
2433,,Home,"Safe Drinking Water Act"
2647,Chicago,"North America>United States of America>Illinois","Is Chicago Tap Water Safe to Drink?"
2799,"Krakow (Cracow)",Europe>Poland,"Is Krakow (Cracow) Tap Water Safe to Drink?"
2804,Copenhagen,Europe>Denmark,"Is Copenhagen Tap Water Safe to Drink?"
2810,Shenzhen,Asia>China,"Is Shenzhen Tap Water Safe to Drink?"
2824,Rosario,"South America>Argentina","Is Rosario Tap Water Safe to Drink?"
2830,Amman,Asia>Jordan,"Is Amman Tap Water Safe to Drink?"
2841,Mogadishu,Africa>Somalia,"Is Mogadishu Tap Water Safe to Drink?"
3151,Moscow,Europe>Russia,"Is Moscow Tap Water Safe to Drink?"
3159,Montevideo,"South America>Uruguay","Is Montevideo Tap Water Safe to Drink?"
3835,Dhaka,Asia>Bangladesh,"Is Dhaka Tap Water Safe to Drink?"
3940,"Palaio Faliro, Athens",Europe>Greece,"Is Athens Tap Water Safe to Drink?"
4364,Chittagong,Asia>Bangladesh,"Is Chittagong Tap Water Safe to Drink?"
4498,Khulna,Asia>Bangladesh,"Is Khulna Tap Water Safe to Drink?"
4596,Rajshahi,Asia>Bangladesh,"Is Rajshahi Tap Water Safe to Drink?"
4823,Rome,Europe>Italy,"Is Rome Tap Water Safe to Drink?"
6432,Aberdeen,"North America>United States of America>South Dakota","Is Aberdeen Tap Water Safe to Drink?"
6433,Abilene,"North America>United States of America>Texas","Is Abilene Tap Water Safe to Drink?"
6434,Acton,"North America>United States of America>Massachusetts","Is Acton Tap Water Safe to Drink?"
6435,Akron,"North America>United States of America>Ohio","Is Akron Tap Water Safe to Drink?"
6436,Alameda,"North America>United States of America>California","Is Alameda Tap Water Safe to Drink?"
6437,Alamogordo,"North America>United States of America>New Mexico","Is Alamogordo Tap Water Safe to Drink?"
6438,Albany,"North America>United States of America>New York","Is Albany Tap Water Safe to Drink?"
6439,Albany,"North America>United States of America>Oregon","Is Albany Tap Water Safe to Drink?"
6440,Albuquerque,"North America>United States of America>New Mexico","Is Albuquerque Tap Water Safe to Drink?"
6441,Alexandria,"North America>United States of America>Louisiana","Is Alexandria Tap Water Safe to Drink?"
6442,Alexandria,"North America>United States of America>Virginia","Is Alexandria Tap Water Safe to Drink?"
6443,"Aliso Viejo","North America>United States of America>California","Is Aliso Viejo Tap Water Safe to Drink?"
6444,Allen,"North America>United States of America>Texas","Is Allen Tap Water Safe to Drink?"
6445,Allentown,"North America>United States of America>Pennsylvania","Is Allentown Tap Water Safe to Drink?"
6446,Alpharetta,"North America>United States of America>Georgia","Is Alpharetta Tap Water Safe to Drink?"
6447,Alton,"North America>United States of America>Illinois","Is Alton Tap Water Safe to Drink?"
6448,Amarillo,"North America>United States of America>Texas","Is Amarillo Tap Water Safe to Drink?"
6449,Ames,"North America>United States of America>Iowa","Is Ames Tap Water Safe to Drink?"
6450,Amherst,"North America>United States of America>Massachusetts","Is Amherst Tap Water Safe to Drink?"
6451,Anaheim,"North America>United States of America>California","Is Anaheim Tap Water Safe to Drink?"
6452,Anchorage,"North America>United States of America>Alaska","Is Anchorage Tap Water Safe to Drink?"
6453,Anderson,"North America>United States of America>California","Is Anderson Tap Water Safe to Drink?"
6454,Anderson,"North America>United States of America>South Carolina","Is Anderson Tap Water Safe to Drink?"
6455,Andover,"North America>United States of America>Massachusetts","Is Andover Tap Water Safe to Drink?"
6456,Ankeny,"North America>United States of America>Iowa","Is Ankeny Tap Water Safe to Drink?"
6457,"Ann Arbor","North America>United States of America>Michigan","Is Ann Arbor Tap Water Safe to Drink?"
6458,Annapolis,"North America>United States of America>Maryland","Is Annapolis Tap Water Safe to Drink?"
6459,Antioch,"North America>United States of America>California","Is Antioch Tap Water Safe to Drink?"
6460,Apopka,"North America>United States of America>Florida","Is Apopka Tap Water Safe to Drink?"
6461,"Apple Valley","North America>United States of America>California","Is Apple Valley Tap Water Safe to Drink?"
6462,Appleton,"North America>United States of America>Wisconsin","Is Appleton Tap Water Safe to Drink?"
6463,Arlington,"North America>United States of America>Texas","Is Arlington Tap Water Safe to Drink?"
6464,Arlington,"North America>United States of America>Virginia","Is Arlington Tap Water Safe to Drink?"
6465,Ashburn,"North America>United States of America>Virginia","Is Ashburn Tap Water Safe to Drink?"
6466,Asheville,"North America>United States of America>North Carolina","Is Asheville Tap Water Safe to Drink?"
6467,Astoria,"North America>United States of America>New York","Is Astoria Tap Water Safe to Drink?"
6468,Astoria,"North America>United States of America>Oregon","Is Astoria Tap Water Safe to Drink?"
6469,Atascadero,"North America>United States of America>California","Is Atascadero Tap Water Safe to Drink?"
6470,Athens,"North America>United States of America>Georgia","Is Athens Tap Water Safe to Drink?"
6471,Athens,"North America>United States of America>Ohio","Is Athens Tap Water Safe to Drink?"
6472,Atlanta,"North America>United States of America>Georgia","Is Atlanta Tap Water Safe to Drink?"
6473,Auburn,"North America>United States of America>Alabama","Is Auburn Tap Water Safe to Drink?"
6474,Augusta,"North America>United States of America>Georgia","Is Augusta Tap Water Safe to Drink?"
6475,Augusta,"North America>United States of America>Maine","Is Augusta Tap Water Safe to Drink?"
6476,Aurora,"North America>United States of America>Colorado","Is Aurora Tap Water Safe to Drink?"
6477,Aurora,"North America>United States of America>Illinois","Is Aurora Tap Water Safe to Drink?"
6478,Austin,"North America>United States of America>Texas","Is Austin Tap Water Safe to Drink?"
6479,Avondale,"North America>United States of America>Arizona","Is Avondale Tap Water Safe to Drink?"
6480,Bakersfield,"North America>United States of America>California","Is Bakersfield Tap Water Safe to Drink?"
6481,Baltimore,"North America>United States of America>Maryland","Is Baltimore Tap Water Safe to Drink?"
6482,Bangor,"North America>United States of America>Maine","Is Bangor Tap Water Safe to Drink?"
6483,"Baton Rouge","North America>United States of America>Louisiana","Is Baton Rouge Tap Water Safe to Drink?"
6484,"Battle Creek","North America>United States of America>Michigan","Is Battle Creek Tap Water Safe to Drink?"
6485,Baytown,"North America>United States of America>Texas","Is Baytown Tap Water Safe to Drink?"
6486,"Beaufort County","North America>United States of America>South Carolina","Is Beaufort County Tap Water Safe to Drink?"
6487,Beaumont,"North America>United States of America>Texas","Is Beaumont Tap Water Safe to Drink?"
6488,Beaverton,"North America>United States of America>Oregon","Is Beaverton Tap Water Safe to Drink?"
6489,Beckley,"North America>United States of America>West Virginia","Is Beckley Tap Water Safe to Drink?"
6490,Belleville,"North America>United States of America>Illinois","Is Belleville Tap Water Safe to Drink?"
6491,Bellevue,"North America>United States of America>Washington","Is Bellevue Tap Water Safe to Drink?"
6492,Bellingham,"North America>United States of America>Massachusetts","Is Bellingham Tap Water Safe to Drink?"
6493,Belmont,"North America>United States of America>California","Is Belmont Tap Water Safe to Drink?"
6494,Beloit,"North America>United States of America>Wisconsin","Is Beloit Tap Water Safe to Drink?"
6495,Bend,"North America>United States of America>Oregon","Is Bend Tap Water Safe to Drink?"
6496,Bentonville,"North America>United States of America>Arkansas","Is Bentonville Tap Water Safe to Drink?"
6497,"Bergen County","North America>United States of America>New Jersey","Is Bergen County Tap Water Safe to Drink?"
6498,Berkeley,"North America>United States of America>California","Is Berkeley Tap Water Safe to Drink?"
6499,Bethesda,"North America>United States of America>Maryland","Is Bethesda Tap Water Safe to Drink?"
6500,Bethlehem,"North America>United States of America>Pennsylvania","Is Bethlehem Tap Water Safe to Drink?"
6501,"Beverly Hills","North America>United States of America>California","Is Beverly Hills Tap Water Safe to Drink?"
6502,Billings,"North America>United States of America>Montana","Is Billings Tap Water Safe to Drink?"
6503,Biloxi,"North America>United States of America>Mississippi","Is Biloxi Tap Water Safe to Drink?"
6504,Binghamton,"North America>United States of America>New York","Is Binghamton Tap Water Safe to Drink?"
6505,Birmingham,"North America>United States of America>Alabama","Is Birmingham Tap Water Safe to Drink?"
6506,Bismarck,"North America>United States of America>North Dakota","Is Bismarck Tap Water Safe to Drink?"
6507,Blacksburg,"North America>United States of America>Virginia","Is Blacksburg Tap Water Safe to Drink?"
6508,"Bloomfield Hills","North America>United States of America>Michigan","Is Bloomfield Hills Tap Water Safe to Drink?"
6509,Bloomington,"North America>United States of America>Illinois","Is Bloomington Tap Water Safe to Drink?"
6510,Bloomington,"North America>United States of America>Indiana","Is Bloomington Tap Water Safe to Drink?"
6511,"Boca Raton","North America>United States of America>Florida","Is Boca Raton Tap Water Safe to Drink?"
6512,Boise,"North America>United States of America>Idaho","Is Boise Tap Water Safe to Drink?"
6513,Boone,"North America>United States of America>North Carolina","Is Boone Tap Water Safe to Drink?"
6514,Boston,"North America>United States of America>Massachusetts","Is Boston Tap Water Safe to Drink?"
6515,Boulder,"North America>United States of America>Colorado","Is Boulder Tap Water Safe to Drink?"
6516,"Bowling Green","North America>United States of America>Kentucky","Is Bowling Green Tap Water Safe to Drink?"
6517,"Boynton Beach","North America>United States of America>Florida","Is Boynton Beach Tap Water Safe to Drink?"
6518,Bozeman,"North America>United States of America>Montana","Is Bozeman Tap Water Safe to Drink?"
6519,Bradenton,"North America>United States of America>Florida","Is Bradenton Tap Water Safe to Drink?"
6520,Brainerd,"North America>United States of America>Minnesota","Is Brainerd Tap Water Safe to Drink?"
6521,Brea,"North America>United States of America>California","Is Brea Tap Water Safe to Drink?"
6522,Bremerton,"North America>United States of America>Washington","Is Bremerton Tap Water Safe to Drink?"
6523,Brentwood,"North America>United States of America>California","Is Brentwood Tap Water Safe to Drink?"
6524,Brentwood,"North America>United States of America>Tennessee","Is Brentwood Tap Water Safe to Drink?"
6525,Bridgeport,"North America>United States of America>Connecticut","Is Bridgeport Tap Water Safe to Drink?"
6526,Bridgewater,"North America>United States of America>Massachusetts","Is Bridgewater Tap Water Safe to Drink?"
6527,Bronx,"North America>United States of America>New York","Is Bronx Tap Water Safe to Drink?"
6528,Brookhaven,"North America>United States of America>Mississippi","Is Brookhaven Tap Water Safe to Drink?"
6529,Brooklyn,"North America>United States of America>New York","Is Brooklyn Tap Water Safe to Drink?"
6530,Brownsville,"North America>United States of America>Texas","Is Brownsville Tap Water Safe to Drink?"
6531,Brunswick,"North America>United States of America>Georgia","Is Brunswick Tap Water Safe to Drink?"
6532,Buffalo,"North America>United States of America>New York","Is Buffalo Tap Water Safe to Drink?"
6533,"Bullhead City","North America>United States of America>Arizona","Is Bullhead City Tap Water Safe to Drink?"
6534,Burbank,"North America>United States of America>California","Is Burbank Tap Water Safe to Drink?"
6535,Burley,"North America>United States of America>Idaho","Is Burley Tap Water Safe to Drink?"
6536,Burlington,"North America>United States of America>Iowa","Is Burlington Tap Water Safe to Drink?"
6537,Burlington,"North America>United States of America>Vermont","Is Burlington Tap Water Safe to Drink?"
6538,Butte,"North America>United States of America>Montana","Is Butte Tap Water Safe to Drink?"
6539,Camarillo,"North America>United States of America>California","Is Camarillo Tap Water Safe to Drink?"
6540,Cambridge,"North America>United States of America>Massachusetts","Is Cambridge Tap Water Safe to Drink?"
6541,"Canoga Park","North America>United States of America>California","Is Canoga Park Tap Water Safe to Drink?"
6542,Canton,"North America>United States of America>Ohio","Is Canton Tap Water Safe to Drink?"
6543,"Cape Girardeau","North America>United States of America>Missouri","Is Cape Girardeau Tap Water Safe to Drink?"
6544,Carbondale,"North America>United States of America>Illinois","Is Carbondale Tap Water Safe to Drink?"
6545,Carlsbad,"North America>United States of America>California","Is Carlsbad Tap Water Safe to Drink?"
6546,Carlsbad,"North America>United States of America>New Mexico","Is Carlsbad Tap Water Safe to Drink?"
6547,"Carson City","North America>United States of America>Nevada","Is Carson City Tap Water Safe to Drink?"
6548,Cartersville,"North America>United States of America>Georgia","Is Cartersville Tap Water Safe to Drink?"
6549,Cary,"North America>United States of America>North Carolina","Is Cary Tap Water Safe to Drink?"
6550,Casper,"North America>United States of America>Wyoming","Is Casper Tap Water Safe to Drink?"
6551,"Cedar City","North America>United States of America>Utah","Is Cedar City Tap Water Safe to Drink?"
6552,"Cedar Rapids","North America>United States of America>Iowa","Is Cedar Rapids Tap Water Safe to Drink?"
6553,Centreville,"North America>United States of America>Virginia","Is Centreville Tap Water Safe to Drink?"
6554,Champaign,"North America>United States of America>Illinois","Is Champaign Tap Water Safe to Drink?"
6555,Chandler,"North America>United States of America>Arizona","Is Chandler Tap Water Safe to Drink?"
6556,"Chapel Hill","North America>United States of America>North Carolina","Is Chapel Hill Tap Water Safe to Drink?"
6557,Charleston,"North America>United States of America>South Carolina","Is Charleston Tap Water Safe to Drink?"
6558,Charleston,"North America>United States of America>West Virginia","Is Charleston Tap Water Safe to Drink?"
6559,Charlotte,"North America>United States of America>North Carolina","Is Charlotte Tap Water Safe to Drink?"
6560,Charlottesville,"North America>United States of America>Virginia","Is Charlottesville Tap Water Safe to Drink?"
6561,Chattanooga,"North America>United States of America>Tennessee","Is Chattanooga Tap Water Safe to Drink?"
6562,"Cherry Hill","North America>United States of America>New Jersey","Is Cherry Hill Tap Water Safe to Drink?"
6563,Chesapeake,"North America>United States of America>Virginia","Is Chesapeake Tap Water Safe to Drink?"
6564,Cheyenne,"North America>United States of America>Wyoming","Is Cheyenne Tap Water Safe to Drink?"
6566,Chico,"North America>United States of America>California","Is Chico Tap Water Safe to Drink?"
6567,"Chula Vista","North America>United States of America>California","Is Chula Vista Tap Water Safe to Drink?"
6568,Cincinnati,"North America>United States of America>Ohio","Is Cincinnati Tap Water Safe to Drink?"
6569,"Citrus Heights","North America>United States of America>California","Is Citrus Heights Tap Water Safe to Drink?"
6570,Clarksville,"North America>United States of America>Tennessee","Is Clarksville Tap Water Safe to Drink?"
6571,Clearwater,"North America>United States of America>Florida","Is Clearwater Tap Water Safe to Drink?"
6572,Cleveland,"North America>United States of America>Ohio","Is Cleveland Tap Water Safe to Drink?"
6573,Clifton,"North America>United States of America>New Jersey","Is Clifton Tap Water Safe to Drink?"
6574,"Clinton Township","North America>United States of America>Michigan","Is Clinton Township Tap Water Safe to Drink?"
6575,Clovis,"North America>United States of America>New Mexico","Is Clovis Tap Water Safe to Drink?"
6576,Cody,"North America>United States of America>Wyoming","Is Cody Tap Water Safe to Drink?"
6577,"Coeur D'Alene","North America>United States of America>Idaho","Is Coeur D'Alene Tap Water Safe to Drink?"
6578,"College Park","North America>United States of America>Maryland","Is College Park Tap Water Safe to Drink?"
6579,"College Station","North America>United States of America>Texas","Is College Station Tap Water Safe to Drink?"
6580,"Colorado Springs","North America>United States of America>Colorado","Is Colorado Springs Tap Water Safe to Drink?"
6581,Colton,"North America>United States of America>California","Is Colton Tap Water Safe to Drink?"
6582,Columbia,"North America>United States of America>Maryland","Is Columbia Tap Water Safe to Drink?"
6583,Columbia,"North America>United States of America>Missouri","Is Columbia Tap Water Safe to Drink?"
6584,Columbia,"North America>United States of America>South Carolina","Is Columbia Tap Water Safe to Drink?"
6585,Columbus,"North America>United States of America>Georgia","Is Columbus Tap Water Safe to Drink?"
6586,Columbus,"North America>United States of America>Indiana","Is Columbus Tap Water Safe to Drink?"
6587,Columbus,"North America>United States of America>Ohio","Is Columbus Tap Water Safe to Drink?"
6588,Concord,"North America>United States of America>California","Is Concord Tap Water Safe to Drink?"
6589,Concord,"North America>United States of America>New Hampshire","Is Concord Tap Water Safe to Drink?"
6590,Conroe,"North America>United States of America>Texas","Is Conroe Tap Water Safe to Drink?"
6591,Cookeville,"North America>United States of America>Tennessee","Is Cookeville Tap Water Safe to Drink?"
6592,"Coos Bay","North America>United States of America>Oregon","Is Coos Bay Tap Water Safe to Drink?"
6593,"Coral Springs","North America>United States of America>Florida","Is Coral Springs Tap Water Safe to Drink?"
6594,Corona,"North America>United States of America>California","Is Corona Tap Water Safe to Drink?"
6595,"Corpus Christi","North America>United States of America>Texas","Is Corpus Christi Tap Water Safe to Drink?"
6596,Corvallis,"North America>United States of America>Oregon","Is Corvallis Tap Water Safe to Drink?"
6597,"Costa Mesa","North America>United States of America>California","Is Costa Mesa Tap Water Safe to Drink?"
6598,Cottonwood,"North America>United States of America>Arizona","Is Cottonwood Tap Water Safe to Drink?"
6599,Crestview,"North America>United States of America>Florida","Is Crestview Tap Water Safe to Drink?"
6600,"Crystal Lake","North America>United States of America>Illinois","Is Crystal Lake Tap Water Safe to Drink?"
6601,Cumberland,"North America>United States of America>Maryland","Is Cumberland Tap Water Safe to Drink?"
6602,Cumming,"North America>United States of America>Georgia","Is Cumming Tap Water Safe to Drink?"
6603,Cupertino,"North America>United States of America>California","Is Cupertino Tap Water Safe to Drink?"
6604,Dallas,"North America>United States of America>Texas","Is Dallas Tap Water Safe to Drink?"
6605,Danbury,"North America>United States of America>Connecticut","Is Danbury Tap Water Safe to Drink?"
6606,Danville,"North America>United States of America>California","Is Danville Tap Water Safe to Drink?"
6607,Danville,"North America>United States of America>Virginia","Is Danville Tap Water Safe to Drink?"
6608,Davenport,"North America>United States of America>Iowa","Is Davenport Tap Water Safe to Drink?"
6609,Davis,"North America>United States of America>California","Is Davis Tap Water Safe to Drink?"
6610,Dayton,"North America>United States of America>Ohio","Is Dayton Tap Water Safe to Drink?"
6611,"Daytona Beach","North America>United States of America>Florida","Is Daytona Beach Tap Water Safe to Drink?"
6612,Decatur,"North America>United States of America>Illinois","Is Decatur Tap Water Safe to Drink?"
6613,"Deerfield Beach","North America>United States of America>Florida","Is Deerfield Beach Tap Water Safe to Drink?"
6614,DeKalb,"North America>United States of America>Illinois","Is DeKalb Tap Water Safe to Drink?"
6615,"Del Rio","North America>United States of America>Texas","Is Del Rio Tap Water Safe to Drink?"
6616,Deland,"North America>United States of America>Florida","Is Deland Tap Water Safe to Drink?"
6617,"Delray Beach","North America>United States of America>Florida","Is Delray Beach Tap Water Safe to Drink?"
6618,Denton,"North America>United States of America>Texas","Is Denton Tap Water Safe to Drink?"
6619,Denver,"North America>United States of America>Colorado","Is Denver Tap Water Safe to Drink?"
6620,"Des Moines","North America>United States of America>Iowa","Is Des Moines Tap Water Safe to Drink?"
6621,"Des Plaines","North America>United States of America>Illinois","Is Des Plaines Tap Water Safe to Drink?"
6622,Detroit,"North America>United States of America>Michigan","Is Detroit Tap Water Safe to Drink?"
6623,"Dodge City","North America>United States of America>Kansas","Is Dodge City Tap Water Safe to Drink?"
6624,Dothan,"North America>United States of America>Alabama","Is Dothan Tap Water Safe to Drink?"
6625,Dover,"North America>United States of America>Delaware","Is Dover Tap Water Safe to Drink?"
6626,Dover,"North America>United States of America>New Hampshire","Is Dover Tap Water Safe to Drink?"
6627,Downey,"North America>United States of America>California","Is Downey Tap Water Safe to Drink?"
6628,Downingtown,"North America>United States of America>Pennsylvania","Is Downingtown Tap Water Safe to Drink?"
6629,Doylestown,"North America>United States of America>Pennsylvania","Is Doylestown Tap Water Safe to Drink?"
6630,Dublin,"North America>United States of America>Ohio","Is Dublin Tap Water Safe to Drink?"
6631,Dubuque,"North America>United States of America>Iowa","Is Dubuque Tap Water Safe to Drink?"
6632,Duluth,"North America>United States of America>Georgia","Is Duluth Tap Water Safe to Drink?"
6633,Duluth,"North America>United States of America>Minnesota","Is Duluth Tap Water Safe to Drink?"
6634,Durango,"North America>United States of America>Colorado","Is Durango Tap Water Safe to Drink?"
6635,Durham,"North America>United States of America>North Carolina","Is Durham Tap Water Safe to Drink?"
6636,"Eagle River","North America>United States of America>Alaska","Is Eagle River Tap Water Safe to Drink?"
6637,"East Lansing","North America>United States of America>Michigan","Is East Lansing Tap Water Safe to Drink?"
6638,"East Providence","North America>United States of America>Rhode Island","Is East Providence Tap Water Safe to Drink?"
6639,"Eau Claire","North America>United States of America>Wisconsin","Is Eau Claire Tap Water Safe to Drink?"
6640,"Eden Prairie","North America>United States of America>Minnesota","Is Eden Prairie Tap Water Safe to Drink?"
6641,"Edison Twp.","North America>United States of America>New Jersey","Is Edison Twp. Tap Water Safe to Drink?"
6642,Edmond,"North America>United States of America>Oklahoma","Is Edmond Tap Water Safe to Drink?"
6643,Edwardsville,"North America>United States of America>Illinois","Is Edwardsville Tap Water Safe to Drink?"
6644,"El Cajon","North America>United States of America>California","Is El Cajon Tap Water Safe to Drink?"
6645,"El Centro","North America>United States of America>California","Is El Centro Tap Water Safe to Drink?"
6646,"El Dorado","North America>United States of America>Arkansas","Is El Dorado Tap Water Safe to Drink?"
6647,"El Paso","North America>United States of America>Texas","Is El Paso Tap Water Safe to Drink?"
6648,Elizabethtown,"North America>United States of America>Kentucky","Is Elizabethtown Tap Water Safe to Drink?"
6649,Elkhart,"North America>United States of America>Indiana","Is Elkhart Tap Water Safe to Drink?"
6650,Elko,"North America>United States of America>Nevada","Is Elko Tap Water Safe to Drink?"
6651,Elmira,"North America>United States of America>New York","Is Elmira Tap Water Safe to Drink?"
6652,Erie,"North America>United States of America>Pennsylvania","Is Erie Tap Water Safe to Drink?"
6653,Eugene,"North America>United States of America>Oregon","Is Eugene Tap Water Safe to Drink?"
6654,Eureka,"North America>United States of America>California","Is Eureka Tap Water Safe to Drink?"
6655,Evanston,"North America>United States of America>Illinois","Is Evanston Tap Water Safe to Drink?"
6656,Evansville,"North America>United States of America>Indiana","Is Evansville Tap Water Safe to Drink?"
6657,Everett,"North America>United States of America>Washington","Is Everett Tap Water Safe to Drink?"
6658,Fairbanks,"North America>United States of America>Alaska","Is Fairbanks Tap Water Safe to Drink?"
6659,Fairfax,"North America>United States of America>Virginia","Is Fairfax Tap Water Safe to Drink?"
6660,Fairfield,"North America>United States of America>California","Is Fairfield Tap Water Safe to Drink?"
6661,Fairfield,"North America>United States of America>Connecticut","Is Fairfield Tap Water Safe to Drink?"
6662,"Fall River","North America>United States of America>Massachusetts","Is Fall River Tap Water Safe to Drink?"
6663,Fargo,"North America>United States of America>North Dakota","Is Fargo Tap Water Safe to Drink?"
6664,Farmington,"North America>United States of America>New Mexico","Is Farmington Tap Water Safe to Drink?"
6665,"Farmington Hills","North America>United States of America>Michigan","Is Farmington Hills Tap Water Safe to Drink?"
6666,Fayetteville,"North America>United States of America>Arkansas","Is Fayetteville Tap Water Safe to Drink?"
6667,Fayetteville,"North America>United States of America>North Carolina","Is Fayetteville Tap Water Safe to Drink?"
6668,Flagstaff,"North America>United States of America>Arizona","Is Flagstaff Tap Water Safe to Drink?"
6669,Flint,"North America>United States of America>Michigan","Is Flint Tap Water Safe to Drink?"
