id,Title,"City name",Categories
16174,"Is Wilmette Tap Water Safe to Drink?",Wilmette,"North America>United States of America>Illinois"
16170,"Is Willingboro Twp. Tap Water Safe to Drink?","Willingboro Twp.","North America>United States of America>New Jersey"
16168,"Is Williamson County Tap Water Safe to Drink?","Williamson County","North America>United States of America>Texas"
16169,"Is Williamston Tap Water Safe to Drink?",Williamston,"North America>United States of America>North Carolina"
16166,"Is Williamson Tap Water Safe to Drink?",Williamson,"North America>United States of America>New York"
16165,"Is Will County Tap Water Safe to Drink?","Will County","North America>United States of America>Illinois"
16167,"Is Williamson County Tap Water Safe to Drink?","Williamson County","North America>United States of America>Tennessee"
16164,"Is Wilkinsburg Tap Water Safe to Drink?",Wilkinsburg,"North America>United States of America>Pennsylvania"
16161,"Is Wichita Falls Tap Water Safe to Drink?","Wichita Falls","North America>United States of America>Texas"
16163,"Is Wildwood City Tap Water Safe to Drink?","Wildwood City","North America>United States of America>New Jersey"
16162,"Is Wildwood Tap Water Safe to Drink?",Wildwood,"North America>United States of America>Florida"
16160,"Is Whittier Tap Water Safe to Drink?",Whittier,"North America>United States of America>California"
16159,"Is Whitman Tap Water Safe to Drink?",Whitman,"North America>United States of America>Massachusetts"
16157,"Is Whitehall Tap Water Safe to Drink?",Whitehall,"North America>United States of America>Pennsylvania"
16158,"Is Whitewater Tap Water Safe to Drink?",Whitewater,"North America>United States of America>Wisconsin"
16155,"Is White Settlement Tap Water Safe to Drink?","White Settlement","North America>United States of America>Texas"
16156,"Is Whitefish Bay Tap Water Safe to Drink?","Whitefish Bay","North America>United States of America>Wisconsin"
16154,"Is White Plains Tap Water Safe to Drink?","Westchester County","North America>United States of America>New York"
16152,"Is White Bear Tap Water Safe to Drink?","White Bear","North America>United States of America>Minnesota"
16153,"Is White Bear Lake Tap Water Safe to Drink?","White Bear Lake","North America>United States of America>Minnesota"
16150,"Is Williston Park Tap Water Safe to Drink?",,"North America>United States of America>New York"
16148,"Is Williamston Tap Water Safe to Drink?",Williamston,"North America>United States of America>North Carolina"
16149,"Is Willingboro Twp. Tap Water Safe to Drink?","Willingboro Twp.","North America>United States of America>New Jersey"
16147,"Is Williamson County Tap Water Safe to Drink?","Williamson County","North America>United States of America>Texas"
16146,"Is Williamson County Tap Water Safe to Drink?","Williamson County","North America>United States of America>Tennessee"
16145,"Is Williamson Tap Water Safe to Drink?",Williamson,"North America>United States of America>New York"
16143,"Is Wilkinsburg Tap Water Safe to Drink?",Wilkinsburg,"North America>United States of America>Pennsylvania"
16144,"Is Will County Tap Water Safe to Drink?","Will County","North America>United States of America>Illinois"
16142,"Is Wildwood City Tap Water Safe to Drink?","Wildwood City","North America>United States of America>New Jersey"
16141,"Is Wildwood Tap Water Safe to Drink?",Wildwood,"North America>United States of America>Florida"
16140,"Is Wichita Falls Tap Water Safe to Drink?","Wichita Falls","North America>United States of America>Texas"
16139,"Is Whittier Tap Water Safe to Drink?",Whittier,"North America>United States of America>California"
16138,"Is Whitman Tap Water Safe to Drink?",Whitman,"North America>United States of America>Massachusetts"
16137,"Is Whitewater Tap Water Safe to Drink?",Whitewater,"North America>United States of America>Wisconsin"
16136,"Is Whitehall Tap Water Safe to Drink?",Whitehall,"North America>United States of America>Pennsylvania"
16135,"Is Whitefish Bay Tap Water Safe to Drink?","Whitefish Bay","North America>United States of America>Wisconsin"
16133,"Is White Plains Tap Water Safe to Drink?","Westchester County","North America>United States of America>New York"
16134,"Is White Settlement Tap Water Safe to Drink?","White Settlement","North America>United States of America>Texas"
16131,"Is White Bear Tap Water Safe to Drink?","White Bear","North America>United States of America>Minnesota"
16132,"Is White Bear Lake Tap Water Safe to Drink?","White Bear Lake","North America>United States of America>Minnesota"
16130,"Is Wheeling Tap Water Safe to Drink?",Wheeling,"North America>United States of America>Illinois"
16129,"Is Wheatfield Tap Water Safe to Drink?",Wheatfield,"North America>United States of America>New York"
16127,"Is Weymouth Tap Water Safe to Drink?",Weymouth,"North America>United States of America>Massachusetts"
16128,"Is Wheat Ridge Tap Water Safe to Drink?","Wheat Ridge","North America>United States of America>Colorado"
16126,"Is Wetumpka Tap Water Safe to Drink?",Wetumpka,"North America>United States of America>Alabama"
16124,"Is Weston Tap Water Safe to Drink?",Weston,"North America>United States of America>West Virginia"
16123,"Is Weston Tap Water Safe to Drink?",Weston,"North America>United States of America>Massachusetts"
16125,"Is Weston Tap Water Safe to Drink?",Weston,"North America>United States of America>Wisconsin"
16120,"Is Westmoreland County Tap Water Safe to Drink?","Westmoreland County","North America>United States of America>Pennsylvania"
16122,"Is Weston Tap Water Safe to Drink?",Weston,"North America>United States of America>Illinois"
16121,"Is Weston Tap Water Safe to Drink?",Weston,"North America>United States of America>Florida"
16117,"Is Westminster Tap Water Safe to Drink?",Westminster,"North America>United States of America>Maryland"
16118,"Is Westminster Tap Water Safe to Drink?",Westminster,"North America>United States of America>South Carolina"
16119,"Is Westmont Tap Water Safe to Drink?",Westmont,"North America>United States of America>Illinois"
16114,"Is Westford Tap Water Safe to Drink?",Westford,"North America>United States of America>Massachusetts"
16115,"Is Westminster Tap Water Safe to Drink?",Westminster,"North America>United States of America>California"
16116,"Is Westminster Tap Water Safe to Drink?",Westminster,"North America>United States of America>Colorado"
16111,"Is Western Springs Tap Water Safe to Drink?","Western Springs","North America>United States of America>Illinois"
16110,"Is Westerly Tap Water Safe to Drink?",Westerly,"North America>United States of America>Rhode Island"
16113,"Is Westfield Tap Water Safe to Drink?",Westfield,"North America>United States of America>Massachusetts"
16112,"Is Westerville Tap Water Safe to Drink?",Westerville,"North America>United States of America>Ohio"
16108,"Is Westchester Tap Water Safe to Drink?",Westchester,"North America>United States of America>Illinois"
16109,"Is Westchester County Tap Water Safe to Drink?","Westchester County","North America>United States of America>New York"
16105,"Is West University Place Tap Water Safe to Drink?","West University Place","North America>United States of America>Texas"
16106,"Is Westborough Tap Water Safe to Drink?",Westborough,"North America>United States of America>Massachusetts"
16107,"Is Westbury Tap Water Safe to Drink?",Westbury,"North America>United States of America>New York"
16102,"Is West Sacramento Tap Water Safe to Drink?","West Sacramento","North America>United States of America>California"
16103,"Is West Seneca Tap Water Safe to Drink?","West Seneca","North America>United States of America>New York"
16104,"Is West Springfield Tap Water Safe to Drink?","West Springfield","North America>United States of America>Massachusetts"
16103,"Is West Seneca Tap Water Safe to Drink?","West Seneca","North America>United States of America>New York"
16100,"Is West Point Tap Water Safe to Drink?","West Point","North America>United States of America>Mississippi"
16099,"Is West Monroe Tap Water Safe to Drink?","West Monroe","North America>United States of America>Louisiana"
16098,"Is West Memphis Tap Water Safe to Drink?","West Memphis","North America>United States of America>Arkansas"
16096,"Is West Linn Tap Water Safe to Drink?","West Linn","North America>United States of America>Oregon"
16097,"Is West Melbourne Tap Water Safe to Drink?","West Melbourne","North America>United States of America>Florida"
16095,"Is West Feliciana Parish Tap Water Safe to Drink?","West Feliciana Parish","North America>United States of America>Louisiana"
16094,"Is West Fargo Tap Water Safe to Drink?","West Fargo","North America>United States of America>North Dakota"
16091,"Is West Columbia Tap Water Safe to Drink?","West Columbia","North America>United States of America>South Carolina"
16093,"Is West Des Moines Tap Water Safe to Drink?","West Des Moines","North America>United States of America>Iowa"
16092,"Is West Deptford Twp. Tap Water Safe to Drink?","West Deptford Twp.","North America>United States of America>New Jersey"
16090,"Is West Chicago Tap Water Safe to Drink?","West Chicago","North America>United States of America>Illinois"
16089,"Is West Carrollton Tap Water Safe to Drink?","West Carrollton","North America>United States of America>Ohio"
16088,"Is West Caldwell Boro Tap Water Safe to Drink?","West Caldwell Boro","North America>United States of America>New Jersey"
16087,"Is West Bloomfield Tap Water Safe to Drink?","West Bloomfield","North America>United States of America>Michigan"
16086,"Is West Bend Tap Water Safe to Drink?","West Bend","North America>United States of America>Wisconsin"
16085,"Is West Baton Rouge Parish Tap Water Safe to Drink?","West Baton Rouge Parish","North America>United States of America>Louisiana"
16082,"Is Wentzville Tap Water Safe to Drink?",Wentzville,"North America>United States of America>Missouri"
16084,"Is West Allis Tap Water Safe to Drink?","West Allis","North America>United States of America>Wisconsin"
16083,"Is Weslaco Tap Water Safe to Drink?",Weslaco,"North America>United States of America>Texas"
16080,"Is Wellesley Tap Water Safe to Drink?",Wellesley,"North America>United States of America>Massachusetts"
16081,"Is Wellington Tap Water Safe to Drink?",Wellington,"North America>United States of America>Florida"
16078,"Is Weld County Tap Water Safe to Drink?","Weld County","North America>United States of America>Colorado"
16077,"Is Weirton Tap Water Safe to Drink?",Weirton,"North America>United States of America>West Virginia"
16079,"Is Wellborn Tap Water Safe to Drink?",Wellborn,"North America>United States of America>Texas"
16076,"Is Webster Tap Water Safe to Drink?",Webster,"North America>United States of America>Texas"
16075,"Is Webster Tap Water Safe to Drink?",Webster,"North America>United States of America>Massachusetts"
16074,"Is Weber County County Tap Water Safe to Drink?","Weber County County","North America>United States of America>Utah"
16072,"Is Weatherford Tap Water Safe to Drink?",Weatherford,"North America>United States of America>Texas"
16073,"Is Webb City Tap Water Safe to Drink?","Webb City","North America>United States of America>Missouri"
16068,"Is Waynesboro Tap Water Safe to Drink?",Waynesboro,"North America>United States of America>Pennsylvania"
16071,"Is Weatherford Tap Water Safe to Drink?",Weatherford,"North America>United States of America>Oklahoma"
16070,"Is Waynesville Tap Water Safe to Drink?",Waynesville,"North America>United States of America>North Carolina"
16069,"Is Waynesboro Tap Water Safe to Drink?",Waynesboro,"North America>United States of America>Virginia"
16065,"Is Wayne Tap Water Safe to Drink?",Wayne,"North America>United States of America>Michigan"
16066,"Is Wayne County Tap Water Safe to Drink?","Wayne County","North America>United States of America>Michigan"
16067,"Is Wayne Twp. Tap Water Safe to Drink?","Wayne Twp.","North America>United States of America>New Jersey"
16064,"Is Wayland Tap Water Safe to Drink?",Wayland,"North America>United States of America>Massachusetts"
16063,"Is Waycross Tap Water Safe to Drink?",Waycross,"North America>United States of America>Georgia"
16061,"Is Waverly Tap Water Safe to Drink?",Waverly,"North America>United States of America>Iowa"
16060,"Is Wauwatosa Tap Water Safe to Drink?",Wauwatosa,"North America>United States of America>Wisconsin"
16062,"Is Waxahachie Tap Water Safe to Drink?",Waxahachie,"North America>United States of America>Texas"
16058,"Is Waunakee Tap Water Safe to Drink?",Waunakee,"North America>United States of America>Wisconsin"
16059,"Is Waupun Tap Water Safe to Drink?",Waupun,"North America>United States of America>Wisconsin"
16055,"Is Watsonville Tap Water Safe to Drink?",Watsonville,"North America>United States of America>California"
16056,"Is Wauconda Tap Water Safe to Drink?",Wauconda,"North America>United States of America>Illinois"
16057,"Is Waukee Tap Water Safe to Drink?",Waukee,"North America>United States of America>Iowa"
16052,"Is Watertown Tap Water Safe to Drink?",Watertown,"North America>United States of America>Wisconsin"
16053,"Is Waterville Tap Water Safe to Drink?",Waterville,"North America>United States of America>Maine"
16053,"Is Waterville Tap Water Safe to Drink?",Waterville,"North America>United States of America>Maine"
16051,"Is Watertown Tap Water Safe to Drink?",Watertown,"North America>United States of America>Massachusetts"
16050,"Is Waterford Tap Water Safe to Drink?",Waterford,"North America>United States of America>New York"
16049,"Is Waterford Tap Water Safe to Drink?",Waterford,"North America>United States of America>Michigan"
16048,"Is Watauga Tap Water Safe to Drink?",Watauga,"North America>United States of America>Texas"
16047,"Is Washougal Tap Water Safe to Drink?",Washougal,"North America>United States of America>Washington"
16046,"Is Washington Twp. Tap Water Safe to Drink?","Washington Twp.","North America>United States of America>New Jersey"
16045,"Is Washington Court House Tap Water Safe to Drink?","Washington Court House","North America>United States of America>Ohio"
16044,"Is Washington County County Tap Water Safe to Drink?","Washington County County","North America>United States of America>Utah"
16043,"Is Washington County Tap Water Safe to Drink?","Washington County","North America>United States of America>Virginia"
16041,"Is Washington County Tap Water Safe to Drink?","Washington County","North America>United States of America>Oregon"
16040,"Is Washington County Tap Water Safe to Drink?","Washington County","North America>United States of America>Arkansas"
16042,"Is Washington County Tap Water Safe to Drink?","Washington County","North America>United States of America>Pennsylvania"
16036,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>Utah"
16038,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>West Virginia"
16035,"Is Zephyrhills Tap Water Safe to Drink?",Zephyrhills,"North America>United States of America>Florida"
16033,"Is Zapata Tap Water Safe to Drink?",Zapata,"North America>United States of America>Texas"
16039,"Is Washington Boro Tap Water Safe to Drink?","Washington Boro","North America>United States of America>New Jersey"
16037,"Is Zion Tap Water Safe to Drink?",Zion,"North America>United States of America>Illinois"
16034,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>North Carolina"
16027,"Is Yuma Tap Water Safe to Drink?",Yuma,"North America>United States of America>Arizona"
16031,"Is Zanesville Tap Water Safe to Drink?",Zanesville,"North America>United States of America>Ohio"
16028,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>Indiana"
16029,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>Michigan"
16032,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>Missouri"
16030,"Is Zachary Tap Water Safe to Drink?",Zachary,"North America>United States of America>Louisiana"
16023,"Is Wasco Tap Water Safe to Drink?",Wasco,"North America>United States of America>California"
16021,"Is Warwick Tap Water Safe to Drink?",Warwick,"North America>United States of America>Rhode Island"
16024,"Is Yucaipa Tap Water Safe to Drink?",Yucaipa,"North America>United States of America>California"
16026,"Is Washington Tap Water Safe to Drink?",Washington,"North America>United States of America>Illinois"
16022,"Is Yuba County Tap Water Safe to Drink?","Yuba County","North America>United States of America>California"
16025,"Is Yukon Tap Water Safe to Drink?",Yukon,"North America>United States of America>Oklahoma"
16019,"Is Wartburg Tap Water Safe to Drink?",Wartburg,"North America>United States of America>Tennessee"
16018,"Is Ypsilanti Tap Water Safe to Drink?",Ypsilanti,"North America>United States of America>Michigan"
16015,"Is Warrington Tap Water Safe to Drink?",Warrington,"North America>United States of America>Pennsylvania"
16017,"Is Warsaw Tap Water Safe to Drink?",Warsaw,"North America>United States of America>Indiana"
16013,"Is Warrenville Tap Water Safe to Drink?",Warrenville,"North America>United States of America>Illinois"
16016,"Is Youngsville Tap Water Safe to Drink?",Youngsville,"North America>United States of America>Louisiana"
16014,"Is Youngstown Tap Water Safe to Drink?",Youngstown,"North America>United States of America>Ohio"
16020,"Is Yuba City Tap Water Safe to Drink?","Yuba City","North America>United States of America>California"
16009,"Is Warrensburg Tap Water Safe to Drink?",Warrensburg,"North America>United States of America>Missouri"
16011,"Is Warrenton Tap Water Safe to Drink?",Warrenton,"North America>United States of America>Virginia"
16008,"Is Yorktown Tap Water Safe to Drink?",Yorktown,"North America>United States of America>New York"
16010,"Is Yorkville Tap Water Safe to Drink?",Yorkville,"North America>United States of America>Illinois"
16007,"Is Warren County Tap Water Safe to Drink?","Warren County","North America>United States of America>Ohio"
16012,"Is Young Harris Tap Water Safe to Drink?","Young Harris","North America>United States of America>Georgia"
16000,"Is Yorba Linda Tap Water Safe to Drink?","Yorba Linda","North America>United States of America>California"
16004,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>Pennsylvania"
16001,"Is Warren Tap Water Safe to Drink?",Warren,"North America>United States of America>Pennsylvania"
16002,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>Maine"
16001,"Is Warren Tap Water Safe to Drink?",Warren,"North America>United States of America>Pennsylvania"
16006,"Is York Tap Water Safe to Drink?",York,"North America>United States of America>South Carolina"
16005,"Is Warren County Tap Water Safe to Drink?","Warren County","North America>United States of America>Mississippi"
15998,"Is Warminster Tap Water Safe to Drink?",Warminster,"North America>United States of America>Pennsylvania"
15996,"Is Wareham Tap Water Safe to Drink?",Wareham,"North America>United States of America>Massachusetts"
15992,"Is Wapakoneta Tap Water Safe to Drink?",Wapakoneta,"North America>United States of America>Ohio"
15997,"Is Yazoo City Tap Water Safe to Drink?","Yazoo City","North America>United States of America>Mississippi"
15999,"Is Yonkers Tap Water Safe to Drink?",Yonkers,"North America>United States of America>New York"
15995,"Is Yarmouth Tap Water Safe to Drink?",Yarmouth,"North America>United States of America>Massachusetts"
15993,"Is Yardley Tap Water Safe to Drink?",Yardley,"North America>United States of America>Pennsylvania"
15994,"Is Wappinger Tap Water Safe to Drink?",Wappinger,"North America>United States of America>New York"
15987,"Is Yakima Tap Water Safe to Drink?",Yakima,"North America>United States of America>Washington"
15985,"Is Xenia Tap Water Safe to Drink?",Xenia,"North America>United States of America>Ohio"
15988,"Is Waltham Tap Water Safe to Drink?",Waltham,"North America>United States of America>Massachusetts"
15984,"Is Walpole Tap Water Safe to Drink?",Walpole,"North America>United States of America>Massachusetts"
15986,"Is Walterboro Tap Water Safe to Drink?",Walterboro,"North America>United States of America>South Carolina"
15989,"Is Yakima County Tap Water Safe to Drink?","Yakima County","North America>United States of America>Washington"
15991,"Is Yankton Tap Water Safe to Drink?",Yankton,"North America>United States of America>South Dakota"
15990,"Is Walton County Tap Water Safe to Drink?","Walton County","North America>United States of America>Georgia"
15979,"Is Wyandotte Tap Water Safe to Drink?",Wyandotte,"North America>United States of America>Michigan"
15980,"Is Wallington Boro Tap Water Safe to Drink?","Wallington Boro","North America>United States of America>New Jersey"
15982,"Is Wallkill Tap Water Safe to Drink?",Wallkill,"North America>United States of America>New York"
15983,"Is Wyoming Tap Water Safe to Drink?",Wyoming,"North America>United States of America>Michigan"
15981,"Is Wylie Tap Water Safe to Drink?",Wylie,"North America>United States of America>Texas"
15978,"Is Wall Twp. Tap Water Safe to Drink?","Wall Twp.","North America>United States of America>New Jersey"
15972,"Is Worcester County Tap Water Safe to Drink?","Worcester County","North America>United States of America>Maryland"
15974,"Is Worth Tap Water Safe to Drink?",Worth,"North America>United States of America>Illinois"
15977,"Is Wrentham Tap Water Safe to Drink?",Wrentham,"North America>United States of America>Massachusetts"
15975,"Is Walker Tap Water Safe to Drink?",Walker,"North America>United States of America>Louisiana"
15976,"Is Worthington Tap Water Safe to Drink?",Worthington,"North America>United States of America>Minnesota"
15971,"Is Wakefield Tap Water Safe to Drink?",Wakefield,"North America>United States of America>Massachusetts"
15973,"Is Walhalla Tap Water Safe to Drink?",Walhalla,"North America>United States of America>South Carolina"
15970,"Is Waipio Tap Water Safe to Drink?",Waipio,"North America>United States of America>Hawaii"
15968,"Is Waipahu-ewa-waianae Tap Water Safe to Drink?",Waipahu-ewa-waianae,"North America>United States of America>Hawaii"
15967,"Is Woodward Tap Water Safe to Drink?",Woodward,"North America>United States of America>Oklahoma"
15966,"Is Wailuku Tap Water Safe to Drink?",Wailuku,"North America>United States of America>Hawaii"
15969,"Is Woonsocket Tap Water Safe to Drink?",Woonsocket,"North America>United States of America>Rhode Island"
15962,"Is Woods Cross Tap Water Safe to Drink?","Woods Cross","North America>United States of America>Utah"
15965,"Is Woodstock Tap Water Safe to Drink?",Woodstock,"North America>United States of America>Illinois"
15964,"Is Waikoloa (dho) Tap Water Safe to Drink?","Waikoloa (dho)","North America>United States of America>Hawaii"
15960,"Is Woodruff Tap Water Safe to Drink?",Woodruff,"North America>United States of America>South Carolina"
15961,"Is Wagoner County Tap Water Safe to Drink?","Wagoner County","North America>United States of America>Oklahoma"
15963,"Is Waialua-haleiwa Tap Water Safe to Drink?",Waialua-haleiwa,"North America>United States of America>Hawaii"
15957,"Is Woodland Tap Water Safe to Drink?",Woodland,"North America>United States of America>California"
15958,"Is Woodridge Tap Water Safe to Drink?",Woodridge,"North America>United States of America>Illinois"
15955,"Is Woodinville Tap Water Safe to Drink?",Woodinville,"North America>United States of America>Washington"
15954,"Is Vonore Tap Water Safe to Drink?",Vonore,"North America>United States of America>Tennessee"
15959,"Is Waconia Tap Water Safe to Drink?",Waconia,"North America>United States of America>Minnesota"
15956,"Is Wabash Tap Water Safe to Drink?",Wabash,"North America>United States of America>Indiana"
15950,"Is Woodbury Tap Water Safe to Drink?",Woodbury,"North America>United States of America>New York"
15951,"Is Vinton Tap Water Safe to Drink?",Vinton,"North America>United States of America>Virginia"
15952,"Is Woodbury City Tap Water Safe to Drink?","Woodbury City","North America>United States of America>New Jersey"
15949,"Is Vinemont Tap Water Safe to Drink?",Vinemont,"North America>United States of America>Alabama"
15948,"Is Woodbury Tap Water Safe to Drink?",Woodbury,"North America>United States of America>Minnesota"
15953,"Is Woodhaven Tap Water Safe to Drink?",Woodhaven,"North America>United States of America>Michigan"
